ANO_ELEICAO;CD_ELEICAO;SG_UF;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_CANDIDATO;NM_URNA_CANDIDATO;CD_SITUACAO_CANDIDATURA;DS_SITUACAO_CANDIDATURA;CD_DETALHE_SITUACAO_CAND;DS_DETALHE_SITUACAO_CAND;TP_AGREMIACAO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;SQ_COLIGACAO;NM_COLIGACAO;DS_COMPOSICAO_COLIGACAO
2022;544;BR;PRESIDENTE;2,80002E+11;16;VERA LUCIA PEREIRA DA SILVA SALGADO;VERA;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;16;PSTU;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;2,80E+11;PARTIDO ISOLADO;PSTU
2022;544;BR;PRESIDENTE;2,80002E+11;30;LUIZ FELIPE CHAVES D AVILA;FELIPE D AVILA;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;30;NOVO;PARTIDO NOVO;2,80E+11;PARTIDO ISOLADO;NOVO
2022;544;BR;PRESIDENTE;2,80002E+11;22;JAIR MESSIAS BOLSONARO;JAIR BOLSONARO;12;APTO;2;DEFERIDO;COLIGAÇÃO;22;PL;PARTIDO LIBERAL;2,80E+11;Pelo bem do Brasil;PP / REPUBLICANOS / PL
2022;544;BR;PRESIDENTE;2,80002E+11;14;ROBERTO JEFFERSON MONTEIRO FRANCISCO;ROBERTO JEFFERSON;3;INAPTO;14;INDEFERIDO;PARTIDO ISOLADO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;2,80E+11;PARTIDO ISOLADO;PTB
2022;545;BR;PRESIDENTE;2,80002E+11;13;LUIZ INÁCIO LULA DA SILVA;LULA;12;APTO;2;DEFERIDO;COLIGAÇÃO;13;PT;PARTIDO DOS TRABALHADORES;2,80E+11;COLIGAÇÃO BRASIL DA ESPERANÇA;(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS
2022;544;BR;VICE-PRESIDENTE;2,80002E+11;80;SAMARA MARTINS DA SILVA;SAMARA MARTINS;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;80;UP;UNIDADE POPULAR;2,80E+11;PARTIDO ISOLADO;UP
2022;544;BR;VICE-PRESIDENTE;2,80002E+11;22;WALTER SOUZA BRAGA NETTO;BRAGA NETTO;12;APTO;2;DEFERIDO;COLIGAÇÃO;22;PL;PARTIDO LIBERAL;2,80E+11;Pelo bem do Brasil;PP / REPUBLICANOS / PL
2022;544;BR;PRESIDENTE;2,80002E+11;13;LUIZ INÁCIO LULA DA SILVA;LULA;12;APTO;2;DEFERIDO;COLIGAÇÃO;13;PT;PARTIDO DOS TRABALHADORES;2,80E+11;COLIGAÇÃO BRASIL DA ESPERANÇA;(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS
2022;544;BR;PRESIDENTE;2,80002E+11;44;SORAYA VIEIRA THRONICKE;SORAYA THRONICKE;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;44;UNIÃO;UNIÃO BRASIL;2,80E+11;PARTIDO ISOLADO;UNIÃO
2022;544;BR;VICE-PRESIDENTE;2,80002E+11;12;ANA PAULA ANDRADE MATOS MOREIRA;ANA PAULA MATOS;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;2,80E+11;PARTIDO ISOLADO;PDT
2022;544;BR;VICE-PRESIDENTE;2,80002E+11;30;TIAGO LIMA MITRAUD DE CASTRO LEITE;TIAGO MITRAUD;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;30;NOVO;PARTIDO NOVO;2,80E+11;PARTIDO ISOLADO;NOVO
2022;544;BR;VICE-PRESIDENTE;2,80002E+11;15;MARA CRISTINA GABRILLI;MARA GABRILLI;12;APTO;2;DEFERIDO;COLIGAÇÃO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;2,80E+11;Coligação Brasil para Todos;MDB / (PSDB/CIDADANIA) / PODE
2022;545;BR;PRESIDENTE;2,80002E+11;22;JAIR MESSIAS BOLSONARO;JAIR BOLSONARO;12;APTO;2;DEFERIDO;COLIGAÇÃO;22;PL;PARTIDO LIBERAL;2,80E+11;Pelo bem do Brasil;PP / REPUBLICANOS / PL
2022;544;BR;VICE-PRESIDENTE;2,80002E+11;14;KELMON LUIS DA SILVA SOUZA;PADRE KELMON;3;INAPTO;6;RENÚNCIA;PARTIDO ISOLADO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;2,80E+11;PARTIDO ISOLADO;PTB
